指标,白酒（折65度，商品量）产量_当期值(万千升),白酒（折65度，商品量）产量_累计值(万千升),白酒（折65度，商品量）产量_同比增长(%),白酒（折65度，商品量）产量_累计增长(%)
1999年5月,34.6,204.6,-1,6.8
1999年4月,35,170,-1.1,9.6
1999年3月,41.4,134.1,14.8,13.1
1999年2月,43.8,92.4,17.2,12.4
1999年1月,48.5,48.5,9.2,9.2
1998年6月,39.3,244.6,-3.7,-10.1
1998年5月,38.5,205.4,-10.2,-11.2
1998年4月,39.1,166.5,-9.2,-11.6
1998年3月,39,127.7,-15.4,-12.3
1998年2月,42,88.4,-11.9,-16.3
1998年1月,47.1,47.1,-7.5,-7.5
1997年12月,88.8,708.7,-4.7,2.5
1997年11月,66.2,619.7,-1.2,3.4
1997年10月,59.2,555.5,-2.5,4.4
1997年9月,65.4,496.1,9.5,5.4
1997年8月,44.7,431.2,-0.3,4.7
1997年7月,49.2,387.6,8.9,5.5
1997年6月,51.5,339.9,2.6,4.6
1997年5月,55.8,286.9,5.6,5.4
1997年4月,63.5,229,16.7,3
1997年3月,57,166.2,-2.3,-3.9
1997年2月,52.8,113.6,-96.6,-95.6
1997年1月,57.6,57.6,4.3,4.3
1995年12月,91.3,657.4,,11.3
1995年11月,62.7,568.9,,11.5
1995年10月,54,506.4,,11.2
1995年9月,55.8,452.1,,12.2
1995年8月,44.8,396.3,,11.4
1995年7月,41,350.8,,10
1995年6月,51.6,309.3,,10.4
1995年5月,52.7,257.8,,9.9
1995年4月,52.6,205.5,,8.1
1995年3月,52.9,153.3,,11.6
1995年2月,46.8,100.3,,3.8
1995年1月,56.3,56.3,,6
1993年12月,67.6,543.4,,8.2
1993年11月,49.1,475.1,,7
1993年10月,45.6,425.9,,7.7
1993年9月,40.6,380.4,,7.7
1993年8月,32.3,340,,8.2
1993年7月,34.8,306.9,,7.7
1993年6月,43.5,273.8,,7.8
1993年5月,46.8,230.2,,7.2
1993年4月,50.8,187.7,,7.9
1993年3月,46.6,136.1,,5.4
1993年2月,45,91.5,,7.5
1993年1月,45.8,45.8,,0.9
1992年12月,56,502.3,,5.2
1992年11月,48.2,444.1,,4.5
1992年10月,43.1,395.5,,3.6
1992年9月,38,353.3,,3.4
1992年8月,28.9,314.1,,3
1992年7月,31.8,284.9,,2.2
1992年6月,39.4,254.1,,2
1992年5月,41.5,214.7,,2.7
1992年4月,43.6,173.9,,4
1992年3月,43.8,129.1,,4.7
1992年2月,38.5,85.2,,4.9
1992年1月,45.4,45.4,,2
1991年12月,49.7,477.5,,1.5
1991年11月,43.8,425.1,,1.1
1991年10月,40.2,381.8,,1.8
1991年9月,36.6,341.7,,2.5
1991年8月,25.9,304.9,,2.4
1991年7月,29.8,278.8,,2.6
1991年6月,39.8,249.1,,3
1991年5月,41.7,209.1,,3.8
1991年4月,44,167.3,,4.7
1991年3月,41.2,123.4,,5.1
1991年2月,35.9,81.2,,5.5
1991年1月,44.5,44.5,,27.6
1990年12月,50.8,470.4,,18
1990年11月,45.7,420.3,,19.9
1990年10月,41,375,,19.9
1990年9月,35.2,333.4,,19.3
1990年8月,25.5,297.8,,19
1990年7月,29.5,271.8,,18.7
1990年6月,40.7,241.9,,19.3
1990年5月,41.3,201.5,,18
1990年4月,42.6,159.8,,15.3
1990年3月,41.8,117.5,,15.6
1990年2月,38.4,76.9,,11.4
1990年1月,34.9,34.9,,-11.1
1989年12月,48,398.7,,-8.6
1989年11月,37.4,350.5,,-10.9
1989年10月,32.5,312.9,,-11.8
1989年9月,29.2,279.4,,-11.6
1989年8月,21.2,250.3,,-11.1
1989年7月,25.9,228.9,,-10.9
1989年6月,32,202.8,,-11.5
1989年5月,33.1,170.7,,-10.9
1989年4月,35.9,138.6,,-9.7
1989年3月,35.4,101.6,,-10.5
1989年2月,29,69,,-7.7
1989年1月,39.2,39.2,,-16.4
