吕***8,2017-08-12 09:15:54,非常满意送朋友的谢谢
郑***馨,2017-08-12 09:09:59,不错?????????
w***1,2017-08-12 08:43:49,难抢啊
阿***啦,2017-08-12 08:13:28,帮别人买的
z***8,2017-08-11 23:03:05,此用户没有填写评论!
风***香,2017-08-11 22:32:10,虽然很难抢，官网的茅台买着放心！
谷***i,2017-08-11 22:27:31,同样也是无漏
谷***i,2017-08-11 22:26:56,完美无漏
z***9,2017-08-11 21:54:49,好喝
z***9,2017-08-11 21:54:37,好喝
z***9,2017-08-11 21:54:22,好喝
z***9,2017-08-11 21:54:06,好喝
梦***子,2017-08-11 21:27:35,很满意，酒不错，好喝！继续买点送朋友！！
浪***7,2017-08-11 20:34:33,东西收到了，很满意，也非常划算，配送也很快。下次还来购买～～～
钟***4,2017-08-11 19:36:59,希望能再抢到
钟***4,2017-08-11 19:36:31,希望能继续抢到
钟***4,2017-08-11 19:35:54,好难抢
w***6,2017-08-11 19:27:01,赞一个，毕竟好不容易抢到的。茅台现在怎么和小米一个揍性，都要抢。
t***7,2017-08-11 18:21:22,不错
晶***宝,2017-08-11 18:04:11,?
有***2,2017-08-11 16:34:01,好评
有***2,2017-08-11 16:33:35,好评
杏***9,2017-08-11 16:31:43,好评
h***1,2017-08-11 14:27:32,哎嘛呀，秒没，还好手快，可惜限购，存折过些年喝
爱***4,2017-08-11 14:25:07,发货快，本地超市的不放心，相信官网的质量。
a***8,2017-08-11 13:15:24,老丈人和亲爹一人一瓶。
s***8,2017-08-11 13:01:27,没毛病，就是不好抢
冰***t,2017-08-11 12:50:57,看了战狼2想买茅台喝下，国酒囗感没的说。。。
w***t,2017-08-11 12:36:33,包装真心好！
w***5,2017-08-11 11:15:45,包装的非常好 也没有任何破损 完美
l***3,2017-08-11 10:57:49,抢到二瓶，真的，完美。
木***儡,2017-08-11 10:49:16,此用户没有填写评论!
洪***5,2017-08-11 10:19:50,太难抢了！！！！！！！！
杏***9,2017-08-11 10:04:26,好评 就是太难抢了
c***2,2017-08-11 09:30:08,送过来有一瓶酒渗出来，嫌麻烦费事退了。。麻烦下次包装注意点！
z***m,2017-08-11 09:19:11,好
p***n,2017-08-11 00:54:30,中国好东西！
p***n,2017-08-11 00:53:52,满意！
傻***1,2017-08-10 21:54:34,满意
k***s,2017-08-10 20:29:49,酒厂购买的就是放心！可惜发过来，其中一瓶有点渗酒出来！
